id,markets,founded in,employees,headquarters,country,total raised (USD),latest_round_amount (USD),latest_round_date,latest_round_type,acquired_by,acquired_at,acquired_amount (USD)
151004,"Technology > Artificial Intelligence, Finance > FinTech, Finance > FinTech > Blockchain",,,New York,United States,,,,,,,
151051,"Technology > Information Technology, Internet > SaaS, Big Data > Machine Learning > Natural Language Processing",,,,The Netherlands,0.0,0.0,2018-03-01,Seed fund,,,
151052,"Technology > Artificial Intelligence, Services > Delivery",,,London,United Kingdom,10526316.0,10526316.0,2018-08-17,Undisclosed,,,
151072,"Technology > Information Technology, Technology > Artificial Intelligence, Data Science",,,Copenhagen,Denmark,3000000.0,3000000.0,2018-03-01,Seed fund,,,
151079,"Transportation, Big Data > Machine Learning, Technology > Artificial Intelligence, Software, Security > Cyber Security",2016.0,11.0,,,,,,,,,
151122,"E-Commerce, Advertising, Internet > SaaS, Technology > Artificial Intelligence",2018.0,2.0,Barcelona,Spain,,,,,,,
151183,"Big Data > Machine Learning > Natural Language Processing, Technology > Artificial Intelligence, Analytics > Social Media Monitoring, Businesses > Business Analytics",2018.0,3.0,Las Vegas,United States,,,,,,,
151211,"Analytics, Big Data > Machine Learning > Natural Language Processing, Psychology",2014.0,,Toronto,Canada,690000.0,690000.0,2015-08-20,Venture capital,,,
151250,Technology > Artificial Intelligence,,,Seattle,United States,,,,,Intel,2018-08-20,0.0
151343,"Internet > Blogging Platforms, Media > Audio, Big Data > Machine Learning > Natural Language Processing > Speech Recognition, Media > Podcasting",2018.0,2.0,Toronto,Canada,,,,,,,
151405,"Technology > Artificial Intelligence, Finance > FinTech > Blockchain",,,New York,United States,,,,,,,
151406,"Big Data > Machine Learning > Natural Language Processing, Finance > FinTech > Blockchain",,,,United States,,,,,,,
151410,"Technology > Artificial Intelligence, Big Data > Machine Learning > Natural Language Processing > Speech Recognition",,,Bengaluru,,,,,,Flipkart,2018-08-22,0.0
151483,"Technology > Artificial Intelligence, Health",,,Oxford,United Kingdom,,,,,,,
151499,Technology > Artificial Intelligence,,,Vegas and SF,United States,10000000.0,10000000.0,2018-09-18,Venture Capital,,,
151538,"Technology > Artificial Intelligence, Data Science",,,,,,,,,,,
151544,"E-Commerce, Technology > Artificial Intelligence",,,Amsterdam,The Netherlands,1744186.0,1744186.0,2018-08-24,Seed fund,,,
151574,"Technology > Artificial Intelligence, Development > Development Platforms, Communication > Chat",2011.0,16.0,London,United Kingdom,0.0,0.0,2017-04-04,Angel,,,
151578,Technology > Artificial Intelligence,,,San Francisco,United States,,,,,,,
151620,"Security, Big Data > Machine Learning, Technology > Artificial Intelligence, Security > Cyber Security",2017.0,10.0,Katowice,Poland,0.0,0.0,2017-07-01,Venture Capital,,,
151676,"Transportation > Vehicles > Autonomous Vehicles, Big Data > Machine Learning > Deep Learning",,,Allston,United States,3000000.0,3000000.0,2018-11-28,Seed fund,,,
151776,"Big Data > Machine Learning > Natural Language Processing, Technology > Artificial Intelligence, Big Data > Machine Learning > Natural Language Processing > Speech Recognition, Software",2016.0,15.0,Miami,United States,,,,,,,
151820,"Media > News, Media > Digital Media, Events, Big Data > Machine Learning > Natural Language Processing, Big Data > Machine Learning, Technology > Artificial Intelligence, Education > Training, Big Data > Machine Learning > Deep Learning",2015.0,11.0,,,,,,,,,
151850,"Big Data > Machine Learning > Natural Language Processing, Big Data > Machine Learning > Natural Language Processing > Speech Recognition, Internet > Web Service, Big Data > Machine Learning > Deep Learning",2018.0,5.0,Amsterdam,The Netherlands,,,,,,,
151888,"Big Data > Machine Learning, Finance > FinTech > Blockchain",,,Zug,Switzerland,2500000.0,2500000.0,2018-08-28,Venture Capital,,,
151890,"Technology > Artificial Intelligence, Finance > FinTech, Finance > FinTech > Blockchain",,,United States,United States,,,,,,,
151905,"Big Data > Machine Learning, Technology > Artificial Intelligence, Finance > FinTech",2011.0,11.0,Tel Aviv,Israel,,,,,,,
151908,"Technology > Information Technology, Internet > Cloud Computing, Technology > Artificial Intelligence",,,Shanghai,China,52431718.0,26000000.0,2018-08-07,Venture Capital,,,
151922,"Technology > Artificial Intelligence, Health Care > Medical > Medical Devices",,,,United States,,,,,,,
151967,"Entertainment, Technology > Artificial Intelligence, Mobile > App Stores, Software > Mobile Applications > iOS",2018.0,,Minsk,Belarus,,,,,,,
152004,"E-Commerce, Mobile > Mobile Commerce, Technology > Artificial Intelligence, Big Data > Machine Learning > Natural Language Processing > Speech Recognition",2018.0,5.0,Delhi,India,,,,,,,
152221,"Personalization, Big Data > Machine Learning, Internet > Ediscovery > Content Discovery, Hospitality > Restaurants",2016.0,6.0,Tel Aviv,Israel,,,,,,,
152251,"Robotics, Technology > Artificial Intelligence",,,Hangzhou,China,0.0,0.0,2018-08-29,Seed fund,,,
152305,Technology > Artificial Intelligence,,,San Francisco,United States,,,,,Headspace,2018-09-05,0.0
152328,"Technology > Artificial Intelligence, Industry > Logistics > Fleet Management",,,Tel Aviv,Israel,3000000.0,3000000.0,2018-09-05,Seed fund,,,
152340,"Technology > Artificial Intelligence, Software",,,Palo Alto,United States,0.0,0.0,2018-08-12,Seed fund,,,
152352,"Robotics, Technology > Artificial Intelligence",,,Hangzhou,China,1468429.0,1468429.0,2018-08-10,Seed fund,,,
152386,"Big Data > Machine Learning, Marketing > Marketing Automation, Technology > Artificial Intelligence, Marketing > Email Marketing",,,Chicago,United States,,,,,,,
152425,"Businesses > Monetization, Technology > Artificial Intelligence",2017.0,,London,United Kingdom,,,,,,,
152471,"Internet > SaaS, Technology > Artificial Intelligence, Finance > Financial Services",,,Oslo,Norway,4710000.0,4710000.0,2018-08-24,Seed fund,,,
152485,"Internet > SaaS, Big Data > Machine Learning > Natural Language Processing > Speech Recognition",,,Prague,Czech Republic,,,,,Twilio,2018-09-11,0.0
152490,"Big Data, Technology > Artificial Intelligence",,,,Sweden,16569767.0,16569767.0,2018-09-11,Venture Capital,,,
152495,"Media > Audio, Big Data > Machine Learning > Natural Language Processing > Speech Recognition",,,,United Kingdom,4025974.0,4025974.0,2018-09-10,Series A,,,
152601,"Recruiting > Employment, Technology > Artificial Intelligence, Education > Skill Assessment, Software > Productivity Software > Meeting Software > Video Conferencing",2009.0,11.0,Toronto,Canada,,,,,,,
152718,"Technology > Artificial Intelligence, Aerospace",,,,,13000000.0,13000000.0,2018-12-10,Series A,,,
152790,"Software > Productivity Software, Technology > Artificial Intelligence, Knowledge Management, Idea Management",2018.0,2.0,Moscow,Russia,,,,,,,
152875,"Technology > Artificial Intelligence, Education > Training",,,Shanghai,China,49926579.0,49926579.0,2018-08-07,Seed fund,,,
152878,"Robotics, Technology > Artificial Intelligence",,,,China,0.0,0.0,2018-08-08,Series A,,,
152882,Technology > Artificial Intelligence,,,Waterloo,Canada,3000000.0,3000000.0,2018-09-18,Seed fund,,,
152906,"Travel, Big Data > Machine Learning > Natural Language Processing, Big Data > Machine Learning, Technology > Artificial Intelligence",2018.0,5.0,Mumbai,,,,,,,,
152984,"Technology > Artificial Intelligence, Software, Health Care > Medical > Diagnostics",2016.0,6.0,Singapore,Singapore,,,,,,,
153023,"Robotics, Technology > Artificial Intelligence",,,,China,1468429.0,1468429.0,2018-08-06,Series A,,,
153053,"Robotics, Technology > Artificial Intelligence",,,,China,734214.0,734214.0,2018-08-10,Angel,,,
153064,"Internet > SaaS, Technology > Artificial Intelligence, Software",,,Jakarta,Indonesia,0.0,0.0,2018-08-23,Seed fund,,,
